epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1338.98,1.89833,1.52981,1.80138,0.72697,0.85294,0.82027,0.25214,2.29342,1.51765,2.20195,0.00118082,0.00118082,0.00118082
43,1379.28,1.92708,1.51344,1.81603,0.72893,0.88235,0.83499,0.2648,2.27191,1.50626,2.21568,0.00116084,0.00116084,0.00116084
44,1430.27,1.83126,1.50662,1.74312,0.55389,0.85294,0.73972,0.23009,2.24922,1.46176,2.15952,0.00114086,0.00114086,0.00114086
45,1473.02,1.8898,1.61184,1.80844,0.6196,0.85294,0.76862,0.25865,2.28738,1.3616,2.23286,0.00112088,0.00112088,0.00112088
46,1510.57,1.81296,1.46739,1.79513,0.63623,0.73529,0.60901,0.19346,2.33275,1.50902,2.35073,0.0011009,0.0011009,0.0011009
47,1537.76,1.959,1.50371,1.82648,0.76709,0.76471,0.79034,0.2179,2.26018,1.507,2.31771,0.00108092,0.00108092,0.00108092
48,1571.19,1.86797,1.55723,1.80768,0.67884,0.82353,0.73814,0.20162,2.26876,1.52297,2.2408,0.00106094,0.00106094,0.00106094
49,1614.82,1.85603,1.57927,1.85128,0.60007,0.88263,0.69484,0.20245,2.2954,1.49863,2.26853,0.00104096,0.00104096,0.00104096
50,1650.91,1.91528,1.51606,1.79703,0.44206,0.85294,0.44035,0.1107,2.54632,1.65264,2.57764,0.00102098,0.00102098,0.00102098
51,1682.74,1.93683,1.51011,1.81451,0.55891,0.88235,0.69631,0.2266,2.08598,1.40571,2.18908,0.001001,0.001001,0.001001
52,1719.37,1.86704,1.50724,1.7727,0.74674,0.69398,0.72274,0.23403,2.10148,1.55981,2.24936,0.00098102,0.00098102,0.00098102
53,1748.97,1.83657,1.42107,1.69656,0.64368,0.82353,0.78085,0.28903,2.02633,1.36617,2.07966,0.00096104,0.00096104,0.00096104
54,1789.37,1.87959,1.54254,1.79926,0.60175,0.85294,0.69421,0.21052,2.21508,1.42387,2.16191,0.00094106,0.00094106,0.00094106
55,1831.56,1.76409,1.47072,1.74091,0.59101,0.94118,0.87704,0.33467,2.10981,1.41464,2.15319,0.00092108,0.00092108,0.00092108
56,1872.73,1.80573,1.3986,1.75217,0.74758,0.88235,0.8396,0.24542,2.19751,1.4021,2.23677,0.0009011,0.0009011,0.0009011
57,1908.24,1.81345,1.36685,1.72578,0.76098,0.82353,0.82845,0.26555,2.17233,1.4285,2.18093,0.00088112,0.00088112,0.00088112
58,1945.76,1.83103,1.41974,1.75572,0.71364,0.80645,0.83492,0.27338,2.1359,1.37363,2.16885,0.00086114,0.00086114,0.00086114
59,1976.53,1.81587,1.46327,1.78594,0.77877,0.79412,0.80116,0.28069,2.14714,1.38709,2.23205,0.00084116,0.00084116,0.00084116
60,2018.71,1.80448,1.37129,1.81237,0.7838,0.79412,0.78652,0.24262,2.21059,1.50729,2.27654,0.00082118,0.00082118,0.00082118
61,2054.68,1.82405,1.30279,1.75748,0.63089,0.70588,0.56229,0.16921,2.39268,1.59848,2.32542,0.0008012,0.0008012,0.0008012
62,2097.08,1.73203,1.26227,1.65137,0.78064,0.82353,0.86719,0.29591,2.24874,1.32282,2.30647,0.00078122,0.00078122,0.00078122
63,2129.47,1.78176,1.42821,1.81702,0.78891,0.94118,0.89593,0.30266,2.27871,1.21217,2.38656,0.00076124,0.00076124,0.00076124
64,2162.75,1.8442,1.40216,1.8361,0.87402,0.88235,0.86969,0.32321,2.23444,1.24287,2.34633,0.00074126,0.00074126,0.00074126
65,2200.62,1.79409,1.29771,1.78362,0.93734,0.87997,0.93362,0.30762,2.27065,1.23221,2.3705,0.00072128,0.00072128,0.00072128
66,2232.85,1.83883,1.41092,1.80785,0.91855,0.85294,0.89877,0.35761,2.15981,1.17507,2.33081,0.0007013,0.0007013,0.0007013
67,2278.35,1.75134,1.3075,1.77334,0.87227,0.80365,0.87186,0.33455,2.21749,1.16913,2.38977,0.00068132,0.00068132,0.00068132
68,2324.18,1.73028,1.25344,1.69303,0.83171,0.85294,0.82019,0.29614,2.327,1.15171,2.48251,0.00066134,0.00066134,0.00066134
69,2353.38,1.7154,1.17571,1.72451,0.87027,0.88235,0.90022,0.29991,2.28342,1.14901,2.40722,0.00064136,0.00064136,0.00064136
70,2399.13,1.75874,1.22423,1.78446,0.80593,0.91176,0.89987,0.30511,2.22227,1.19055,2.36979,0.00062138,0.00062138,0.00062138
71,2441.95,1.75012,1.15147,1.69349,0.91211,0.88235,0.93672,0.36002,2.15056,1.1125,2.31008,0.0006014,0.0006014,0.0006014
72,2486.63,1.72882,1.21538,1.73987,0.90844,0.87557,0.87888,0.33581,2.20163,1.12669,2.36353,0.00058142,0.00058142,0.00058142
73,2523.32,1.62828,1.20022,1.722,0.92179,0.88235,0.91671,0.3323,2.26224,1.15696,2.45419,0.00056144,0.00056144,0.00056144
74,2568.91,1.60268,1.24238,1.70979,0.90412,0.83226,0.84594,0.28673,2.40289,1.11945,2.60238,0.00054146,0.00054146,0.00054146
75,2611.9,1.76235,1.22105,1.783,0.85074,0.91176,0.90708,0.31806,2.33361,1.15137,2.55623,0.00052148,0.00052148,0.00052148
76,2656.74,1.65309,1.22067,1.6791,0.88528,0.90795,0.91418,0.32901,2.19346,1.17732,2.4129,0.0005015,0.0005015,0.0005015
77,2699.16,1.66642,1.25106,1.72618,0.89204,0.82353,0.84677,0.33086,2.21678,1.18546,2.44067,0.00048152,0.00048152,0.00048152
78,2748.43,1.70046,1.25646,1.73598,0.93323,0.82353,0.87849,0.3752,2.24701,1.22082,2.42501,0.00046154,0.00046154,0.00046154
79,2798.13,1.64814,1.25855,1.69038,0.90461,0.85294,0.86557,0.3345,2.31861,1.22378,2.45541,0.00044156,0.00044156,0.00044156
80,2858.14,1.58048,1.14708,1.56864,0.9352,0.84901,0.86761,0.28452,2.43039,1.16798,2.54309,0.00042158,0.00042158,0.00042158
81,2916.09,1.62508,1.25137,1.70917,0.78537,0.88235,0.8787,0.29855,2.44136,1.15392,2.60675,0.0004016,0.0004016,0.0004016
82,2972.37,1.65713,1.1972,1.67411,0.85628,0.87633,0.91524,0.28292,2.40034,1.09325,2.60278,0.00038162,0.00038162,0.00038162
83,3030.73,1.65592,1.2024,1.68905,0.86901,0.85294,0.88308,0.28789,2.39615,1.08834,2.60022,0.00036164,0.00036164,0.00036164
84,3081.88,1.49984,1.15085,1.58379,0.96737,0.87222,0.93417,0.32154,2.25883,1.11983,2.48237,0.00034166,0.00034166,0.00034166
85,3134.63,1.62359,1.16198,1.67388,0.9646,0.94118,0.93881,0.32943,2.25412,1.10449,2.4935,0.00032168,0.00032168,0.00032168
86,3180.21,1.65165,1.16412,1.67826,0.90213,0.94118,0.94933,0.32784,2.22605,1.10927,2.46567,0.0003017,0.0003017,0.0003017
87,3231.7,1.56106,1.1938,1.65307,0.83592,0.91176,0.90374,0.32402,2.15947,1.10771,2.38206,0.00028172,0.00028172,0.00028172
88,3274.67,1.59735,1.12135,1.64151,0.83066,0.91176,0.85805,0.33411,2.19873,1.0866,2.42261,0.00026174,0.00026174,0.00026174
89,3316.97,1.55372,1.08295,1.59998,0.91293,0.92533,0.92758,0.33526,2.22602,1.07828,2.45994,0.00024176,0.00024176,0.00024176
90,3361.72,1.52325,1.13289,1.59225,0.90904,0.88185,0.91414,0.33563,2.26981,1.08613,2.50226,0.00022178,0.00022178,0.00022178
91,3400.46,1.60226,1.15204,1.85528,0.90573,0.84786,0.91048,0.33751,2.29342,1.11836,2.52676,0.0002018,0.0002018,0.0002018
92,3441.04,1.53324,1.1248,1.73179,0.88133,0.87391,0.91843,0.32626,2.32251,1.14572,2.57248,0.00018182,0.00018182,0.00018182
93,3470.79,1.57807,1.09005,1.81751,0.90792,0.87025,0.92514,0.32329,2.34336,1.1455,2.61762,0.00016184,0.00016184,0.00016184
94,3511.24,1.56921,1.08681,1.84179,0.84184,0.85294,0.90978,0.33909,2.26333,1.1198,2.53157,0.00014186,0.00014186,0.00014186
95,3545.55,1.47031,1.02222,1.69391,0.83929,0.88235,0.89212,0.35522,2.28211,1.09566,2.53666,0.00012188,0.00012188,0.00012188
96,3582.28,1.47839,1.06488,1.7199,0.88462,0.90223,0.90924,0.35026,2.27525,1.05903,2.52324,0.0001019,0.0001019,0.0001019
97,3607.79,1.4904,1.02303,1.69584,0.85689,0.88235,0.88852,0.35406,2.25975,1.06115,2.50821,8.192e-05,8.192e-05,8.192e-05
98,3639.59,1.43545,1.02543,1.70772,0.89955,0.91176,0.92484,0.35359,2.24272,1.06131,2.50893,6.194e-05,6.194e-05,6.194e-05
