epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1459.8,1.52564,1.88137,1.57287,0.59941,0.68421,0.66678,0.32618,1.25664,1.55556,1.6008,0.00118082,0.00118082,0.00118082
43,1493.72,1.51417,1.97069,1.60278,0.43196,0.60039,0.53719,0.24974,1.27068,1.8413,1.58145,0.00116084,0.00116084,0.00116084
44,1542.57,1.50799,1.96395,1.57086,0.5106,0.61404,0.6505,0.31116,1.27301,1.7691,1.58873,0.00114086,0.00114086,0.00114086
45,1582.92,1.54506,2.01699,1.57632,0.53227,0.68421,0.59456,0.32355,1.21399,1.66169,1.56037,0.00112088,0.00112088,0.00112088
46,1630.03,1.44931,1.90815,1.52083,0.52142,0.78947,0.62012,0.33589,1.14228,1.53095,1.49378,0.0011009,0.0011009,0.0011009
47,1663.34,1.52708,1.9235,1.55668,0.63105,0.8402,0.68133,0.37986,1.1893,1.46642,1.54377,0.00108092,0.00108092,0.00108092
48,1702.51,1.5293,1.95376,1.5821,0.54104,0.75439,0.65796,0.37069,1.15592,1.49411,1.55205,0.00106094,0.00106094,0.00106094
49,1743.76,1.50687,1.88221,1.55411,0.51808,0.79215,0.68419,0.37211,1.1407,1.52755,1.53874,0.00104096,0.00104096,0.00104096
50,1780.39,1.48577,1.82571,1.5132,0.50284,0.64912,0.55949,0.27231,1.2449,1.62294,1.58849,0.00102098,0.00102098,0.00102098
51,1813.37,1.4888,1.98768,1.58533,0.5641,0.7193,0.70241,0.32143,1.26642,1.53786,1.56483,0.001001,0.001001,0.001001
52,1842.84,1.48439,1.89465,1.52038,0.7214,0.68147,0.77445,0.39703,1.22342,1.51778,1.54386,0.00098102,0.00098102,0.00098102
53,1883.67,1.43077,1.81058,1.49119,0.68069,0.75439,0.76461,0.39608,1.25388,1.42826,1.56232,0.00096104,0.00096104,0.00096104
54,1923.84,1.47302,1.935,1.55831,0.57747,0.77193,0.6519,0.3278,1.20627,1.48715,1.54853,0.00094106,0.00094106,0.00094106
55,1963.17,1.42382,1.79576,1.50551,0.6027,0.73684,0.74163,0.45142,1.09474,1.35428,1.47971,0.00092108,0.00092108,0.00092108
56,1991.2,1.38555,1.74218,1.48308,0.65011,0.68455,0.73667,0.47271,1.10086,1.35731,1.47001,0.0009011,0.0009011,0.0009011
57,2030.48,1.4493,1.82358,1.52639,0.73838,0.74278,0.75616,0.48771,1.10791,1.33546,1.48892,0.00088112,0.00088112,0.00088112
58,2072.01,1.43222,1.79887,1.50613,0.8754,0.73957,0.90343,0.52191,1.12305,1.30597,1.48787,0.00086114,0.00086114,0.00086114
59,2110.51,1.45424,1.8739,1.52501,0.78738,0.84211,0.8999,0.49457,1.12974,1.28475,1.49771,0.00084116,0.00084116,0.00084116
60,2144.62,1.45634,1.82139,1.54093,0.67613,0.7193,0.73489,0.39983,1.13724,1.4053,1.52206,0.00082118,0.00082118,0.00082118
